Series #,Title,ISBN,Publication Date
1,Killing Floor,0-515-12344-7,March 1997
2,Die Trying,0-399-14379-3,July 1998
3,Tripwire,0-515-14307-3,July 1999
4,Running Blind,978-0-515-14350-8,April 2000
5,Echo Burning,0-515-13331-0,April 2001 
6,Without Fail,978-0-515-14431-4,April 2002
7,Persuader,978-0-440-24598-8,April 2003 
8,The Enemy,0-553-81585-7,April 2004 
9,One Shot,0-385-33668-3,April 2005
10,The Hard Way,0-385-33669-1,May 2006 
11,Bad Luck and Trouble,0-385-34055-9,April 2007
12,Nothing to Lose,978-059-305702-5,March 2008
13,Gone Tomorrow,978-0-440-24368-7,April 2009
14,61 Hours,978-0-440-24369-4,March 2010
15,Worth Dying For,978-0-385-34431-9,September 2010
16,The Affair,978-0-440-24630-5,September 2011
17,A Wanted Man,978-0-440-24631-2,September 2012
18,Never Go Back,978-0-593-06574-7,September 2013
19,Personal,978-0-5930-7382-7,August 2014 
20,Make Me,978-0-8041-7877-8,September 2015 
